,Credibility Indicator Category,Question Number,Answer Number,Point Recommendation,Credibility Indicator Name,Start,End
89,Evidence,4,5,-4,Sample representativeness,0,0
99,Evidence,8,1,-4,Alternative explanation,0,0
117,Evidence,12,4,0,Open to evidence,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
111,Evidence,11,3,-1,Systematic uncertainty,0,0
116,Evidence,12,3,0,Open to evidence,0,0
84,Evidence,2,9,0,Quality of evidence,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
116,Evidence,12,3,0,Open to evidence,0,0
103,Evidence,8,5,0,Alternative explanation,0,0
116,Evidence,12,3,0,Open to evidence,0,0
170,Holistic,8,4,-1,Minor Bias,0,0
72,Reasoning,7,3,-3,Misleading argument,0,0
48,Reasoning,2,6,0,,0,0
87,Evidence,4,3,-1,Sample representativeness,0,0
94,Evidence,5,4,-2,Control condition,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
111,Evidence,11,3,-1,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
107,Evidence,10,4,-0.5,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
116,Evidence,12,3,0,Open to evidence,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
95,Evidence,5,5,-3,Control condition,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
108,Evidence,10,5,0,Statistical uncertainty,0,0
112,Evidence,11,4,-0.5,Systematic uncertainty,0,0
117,Evidence,12,4,0,Open to evidence,0,0
128,Probability,5,3,-2,Doesn‰Ûªt acknowledge uncertainty,0,0
128,Probability,5,3,-2,Doesn‰Ûªt acknowledge uncertainty,0,0
128,Probability,5,3,-2,Doesn‰Ûªt acknowledge uncertainty,0,0
151,Probability,12,5,0,Open to evidence,0,0
128,Probability,5,3,-2,Doesn‰Ûªt acknowledge uncertainty,0,0
128,Probability,5,3,-2,Doesn‰Ûªt acknowledge uncertainty,0,0
146,Probability,10,3,0,False precision,0,0
128,Probability,5,3,-2,Doesn‰Ûªt acknowledge uncertainty,0,0
146,Probability,10,3,0,False precision,0,0
128,Probability,5,3,-2,Doesn‰Ûªt acknowledge uncertainty,0,0
118,Probability,2,1,0,Inappropriate confidence,0,0
146,Probability,10,3,0,False precision,0,0
119,Probability,2,2,-0.5,Inappropriate confidence,0,0
128,Probability,5,3,-2,Doesn‰Ûªt acknowledge uncertainty,0,0
146,Probability,10,3,0,False precision,0,0
4,Language,2,5,0,Metaphor unhelpful,0,0
23,Language,9,5,0,Inappropriate slang,0,0
27,Language,10,4,-0.25,Denigration,0,0
39,Language,12,1,0,Well-balanced,0,0
2,Language,2,3,-2,Metaphor unhelpful,0,0
23,Language,9,5,0,Inappropriate slang,0,0
27,Language,10,4,-0.25,Denigration,0,0
4,Language,2,5,0,Metaphor unhelpful,0,0
39,Language,12,1,0,Well-balanced,0,0
23,Language,9,5,0,Inappropriate slang,0,0
27,Language,10,4,-0.25,Denigration,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
95,Evidence,5,5,-3,Control condition,0,0
101,Evidence,8,3,-2,Alternative explanation,0,0
117,Evidence,12,4,0,Open to evidence,0,0
90,Evidence,4,6,-2,Sample representativeness,0,0
95,Evidence,5,5,-3,Control condition,0,0
102,Evidence,8,4,-1,Alternative explanation,0,0
117,Evidence,12,4,0,Open to evidence,0,0
103,Evidence,8,5,0,Alternative explanation,0,0
117,Evidence,12,4,0,Open to evidence,0,0
128,Probability,5,3,-2,Doesn‰Ûªt acknowledge uncertainty,0,0
128,Probability,5,3,-2,Doesn‰Ûªt acknowledge uncertainty,0,0
