namespace,schema_sha256,quiz_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,destination,task_redundancy,taskrun_count,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,start_pos,end_pos,target_text
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,79826d5e-97f6-4cb3-aea0-e5fe66a344aa,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2896,5519e901-fe21-4b8e-82e4-b8c59ecb4e92,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,3,20c7086d-4eb3-406a-8166-183b36bff229,95dc40d9-3710-47d7-abf0-24b825a1d0c5,2020-06-16 22:44:34.766965,2020-06-16 22:48:58.965636,264.198671,Evidence Specialist,T1.Q1,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,T1.Q1.A1,"General Causation (In general, X causes Y.)",73d7a14a-9ec6-404c-b2b7-a55508af3b76,a87615b9-4141-45e8-8177-fe8af1300db7,"General Causation (In general, X causes Y.)",1,3,5954,6096,"which studies suggest can affect health, including possibly\xa0lowering blood pressure\xa0and\xa0reducing the severity of symptoms from the common cold"
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,79826d5e-97f6-4cb3-aea0-e5fe66a344aa,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2896,5519e901-fe21-4b8e-82e4-b8c59ecb4e92,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,3,20c7086d-4eb3-406a-8166-183b36bff229,95dc40d9-3710-47d7-abf0-24b825a1d0c5,2020-06-16 22:44:34.766965,2020-06-16 22:48:58.965636,264.198671,Evidence Specialist,T1.Q1,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,T1.Q1.A1,"General Causation (In general, X causes Y.)",73d7a14a-9ec6-404c-b2b7-a55508af3b76,a87615b9-4141-45e8-8177-fe8af1300db7,"General Causation (In general, X causes Y.)",1,3,6502,6543,"that\xa0handholding can reduce physical pain"
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,79826d5e-97f6-4cb3-aea0-e5fe66a344aa,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2896,5519e901-fe21-4b8e-82e4-b8c59ecb4e92,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,3,20c7086d-4eb3-406a-8166-183b36bff229,95dc40d9-3710-47d7-abf0-24b825a1d0c5,2020-06-16 22:44:34.766965,2020-06-16 22:48:58.965636,264.198671,Evidence Specialist,T1.Q1,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,T1.Q1.A1,"General Causation (In general, X causes Y.)",73d7a14a-9ec6-404c-b2b7-a55508af3b76,a87615b9-4141-45e8-8177-fe8af1300db7,"General Causation (In general, X causes Y.)",1,3,6545,6654,Even touch that comes from a hospital worker in protective gear instead of a loved one is better than nothing
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,79826d5e-97f6-4cb3-aea0-e5fe66a344aa,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2896,5519e901-fe21-4b8e-82e4-b8c59ecb4e92,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,3,20c7086d-4eb3-406a-8166-183b36bff229,95dc40d9-3710-47d7-abf0-24b825a1d0c5,2020-06-16 22:44:34.766965,2020-06-16 22:48:58.965636,264.198671,Evidence Specialist,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,T1.Q2.A5,An experimental study was conducted (natural experiments OK),780989ca-2765-4989-9cc3-08f3874489e0,60be4ba1-343c-4fe9-8a55-bfe0067986f7,An experimental study was conducted (natural experiments OK),1,1,5954,5975,which studies suggest
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,79826d5e-97f6-4cb3-aea0-e5fe66a344aa,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2896,5519e901-fe21-4b8e-82e4-b8c59ecb4e92,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,3,20c7086d-4eb3-406a-8166-183b36bff229,95dc40d9-3710-47d7-abf0-24b825a1d0c5,2020-06-16 22:44:34.766965,2020-06-16 22:48:58.965636,264.198671,Evidence Specialist,T1.Q4,How representative is the sample of the population that the claim is made about?,T1.Q4.A6,Can't tell; not enough info,7369a857-fd09-4a36-8e26-e64e8d5a6641,d6eac891-46ec-45fa-a1bf-40408fb1d611,Can't tell; not enough info,0,0,0,0,
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,79826d5e-97f6-4cb3-aea0-e5fe66a344aa,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2896,5519e901-fe21-4b8e-82e4-b8c59ecb4e92,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,3,20c7086d-4eb3-406a-8166-183b36bff229,95dc40d9-3710-47d7-abf0-24b825a1d0c5,2020-06-16 22:44:34.766965,2020-06-16 22:48:58.965636,264.198671,Evidence Specialist,T1.Q5,"Was there an adequate control? If so, highlight section.",T1.Q5.A5,Can't tell; not enough info,ddb82ce8-8e29-4dfe-9aef-30e54ef42fef,e2bcc796-ed55-48cc-8bc7-e9bd51c2f2d5,Can't tell; not enough info,0,0,0,0,
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,79826d5e-97f6-4cb3-aea0-e5fe66a344aa,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2896,5519e901-fe21-4b8e-82e4-b8c59ecb4e92,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,3,20c7086d-4eb3-406a-8166-183b36bff229,95dc40d9-3710-47d7-abf0-24b825a1d0c5,2020-06-16 22:44:34.766965,2020-06-16 22:48:58.965636,264.198671,Evidence Specialist,T1.Q7,What is the best alternative explanation you can think of that could lead to the same set of evidence?,T1.Q7.A1,placeholder answer for TEXT,682be4e9-7e39-45b2-82e6-9f6300bb173c,7841e7ea-d291-47cf-84b1-104cdd5133e1,touch can produce noise that blurs pain,0,0,0,0,
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,79826d5e-97f6-4cb3-aea0-e5fe66a344aa,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2896,5519e901-fe21-4b8e-82e4-b8c59ecb4e92,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,3,20c7086d-4eb3-406a-8166-183b36bff229,95dc40d9-3710-47d7-abf0-24b825a1d0c5,2020-06-16 22:44:34.766965,2020-06-16 22:48:58.965636,264.198671,Evidence Specialist,T1.Q8,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",T1.Q8.A3,Equally likely,32bf9a23-99db-4331-ab8a-5b73ab849d8f,ba5affce-be02-44a8-9d91-9aeef456a1d1,Equally likely,0,0,0,0,
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,79826d5e-97f6-4cb3-aea0-e5fe66a344aa,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2896,5519e901-fe21-4b8e-82e4-b8c59ecb4e92,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,3,20c7086d-4eb3-406a-8166-183b36bff229,95dc40d9-3710-47d7-abf0-24b825a1d0c5,2020-06-16 22:44:34.766965,2020-06-16 22:48:58.965636,264.198671,Evidence Specialist,T1.Q9,Is data presented as evidence for a pattern (e.g. A relationship between two variables)?,T1.Q9.A3,No,27ebbcb0-94fa-4477-8644-af3f6c9ea03b,96cc5231-bb8b-47b0-b89a-007fc1f5248d,No,0,0,0,0,
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,79826d5e-97f6-4cb3-aea0-e5fe66a344aa,https://pe.goodlylabs.org/project/Covid_Evidencev1/task/2896,5519e901-fe21-4b8e-82e4-b8c59ecb4e92,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,3,20c7086d-4eb3-406a-8166-183b36bff229,95dc40d9-3710-47d7-abf0-24b825a1d0c5,2020-06-16 22:44:34.766965,2020-06-16 22:48:58.965636,264.198671,Evidence Specialist,T1.Q12,Does the author suggest in any way that further evidence might improve our understanding of the topic?,T1.Q12.A4,"No, not at all",e2e6a7d3-ad12-4ba6-ab81-f7f73bc68a83,5a2d5fb5-6a11-4ce3-901f-379040177365,"No, not at all",0,0,0,0,
