namespace,schema_sha256,quiz_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,destination,task_redundancy,taskrun_count,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,start_pos,end_pos,target_text
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,0c042e8f-ea8f-4026-b0ba-1e49d3ead68c,cffa52fe-b6e2-433e-ba12-f36225f8ec5c,2020-06-04 19:38:45.320652,2020-06-04 19:43:43.169969,297.849317,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A6,Slang,0f6965ff-df09-42c7-85d5-91a729e37e1f,a8aaa082-2ce0-4a09-a92a-fbcda11df64a,Slang,1,1,380,387,drag on
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,0c042e8f-ea8f-4026-b0ba-1e49d3ead68c,cffa52fe-b6e2-433e-ba12-f36225f8ec5c,2020-06-04 19:38:45.320652,2020-06-04 19:43:43.169969,297.849317,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A1,Metaphorical Language,492f4aa4-d54c-46b2-8bc7-1e9676b607e9,3750bca3-67dd-429a-9121-25fb825aa489,Metaphorical Language,1,1,6668,6714,"I\u2019ve been banging on this drum for a long time"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,0c042e8f-ea8f-4026-b0ba-1e49d3ead68c,cffa52fe-b6e2-433e-ba12-f36225f8ec5c,2020-06-04 19:38:45.320652,2020-06-04 19:43:43.169969,297.849317,Language Specialist V4,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",T1.Q2.A5,NOT AT ALL excessive/inappropriate,19849a7b-506f-44ff-bec2-66a59a497fd1,d3953035-8238-4ce7-a5b3-939d26fdacd7,NOT AT ALL excessive/inappropriate,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,0c042e8f-ea8f-4026-b0ba-1e49d3ead68c,cffa52fe-b6e2-433e-ba12-f36225f8ec5c,2020-06-04 19:38:45.320652,2020-06-04 19:43:43.169969,297.849317,Language Specialist V4,T1.Q9,How appropriate is the slang?,T1.Q9.A5,Completely appropriate,dc0eb26e-7eb9-4ac0-b806-74a346deb6cc,4c8ecdc2-8aea-424a-8cf8-63cee91169a4,Completely appropriate,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,0c042e8f-ea8f-4026-b0ba-1e49d3ead68c,cffa52fe-b6e2-433e-ba12-f36225f8ec5c,2020-06-04 19:38:45.320652,2020-06-04 19:43:43.169969,297.849317,Language Specialist V4,T1.Q10,Is the slang used to denigrate a group or perspective?,T1.Q10.A4,No,00667895-f589-4f70-a558-54ba2f1570cd,59e0f3a3-ebd4-4a72-90f2-4ba2a9cd6ca3,No,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,0c042e8f-ea8f-4026-b0ba-1e49d3ead68c,cffa52fe-b6e2-433e-ba12-f36225f8ec5c,2020-06-04 19:38:45.320652,2020-06-04 19:43:43.169969,297.849317,Language Specialist V4,T1.Q12,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",T1.Q12.A1,Nope,1199a2a4-c9c4-4e74-a4c6-a43535f5b7aa,5e85e315-dc09-4adf-b2bc-1420c61c5fd4,Nope,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,0c042e8f-ea8f-4026-b0ba-1e49d3ead68c,cffa52fe-b6e2-433e-ba12-f36225f8ec5c,2020-06-04 19:38:45.320652,2020-06-04 19:43:43.169969,297.849317,Language Specialist V4,T1.Q14,"How difficult was this task for you, on the whole?",T1.Q14.A10,10: Hardest thing I've ever done in a classroom setting,9da56e1a-864b-45a4-958f-cc1beb085f39,53a01498-c0b4-44cd-8679-12972c2af9ce,10: Hardest thing I've ever done in a classroom setting,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,0c042e8f-ea8f-4026-b0ba-1e49d3ead68c,cffa52fe-b6e2-433e-ba12-f36225f8ec5c,2020-06-04 19:38:45.320652,2020-06-04 19:43:43.169969,297.849317,Language Specialist V4,T1.Q15,"How confident are you about your answers, on the whole?",T1.Q15.A5,5: 50-50,215e5ea4-8b76-412c-ac43-db118a714be9,0496dba2-e47a-4ad2-a785-179673013867,5: 50-50,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,68387542-a4ed-4d16-8baf-65434110c885,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-06-05 00:33:01.058039,2020-06-05 00:48:51.152005,950.093966,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A6,Slang,0f6965ff-df09-42c7-85d5-91a729e37e1f,c4ef6f47-40ba-450d-ba3b-994a20d773ba,Slang,1,1,380,387,drag on
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,68387542-a4ed-4d16-8baf-65434110c885,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-06-05 00:33:01.058039,2020-06-05 00:48:51.152005,950.093966,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A1,Metaphorical Language,492f4aa4-d54c-46b2-8bc7-1e9676b607e9,12d3a81a-f7a0-46c3-8c73-bd5b68cbbf95,Metaphorical Language,1,1,6668,6714,"I\u2019ve been banging on this drum for a long time"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,68387542-a4ed-4d16-8baf-65434110c885,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-06-05 00:33:01.058039,2020-06-05 00:48:51.152005,950.093966,Language Specialist V4,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",T1.Q2.A3,SOMEWHAT excessive/inappropriate,0f5f1cea-3d24-482d-b7c2-b881a726023b,9d3677d2-5e73-473c-9ed9-994c0ae360e0,SOMEWHAT excessive/inappropriate,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,68387542-a4ed-4d16-8baf-65434110c885,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-06-05 00:33:01.058039,2020-06-05 00:48:51.152005,950.093966,Language Specialist V4,T1.Q9,How appropriate is the slang?,T1.Q9.A5,Completely appropriate,dc0eb26e-7eb9-4ac0-b806-74a346deb6cc,22440bd0-a93d-4dbf-942a-4c480fc0571e,Completely appropriate,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,68387542-a4ed-4d16-8baf-65434110c885,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-06-05 00:33:01.058039,2020-06-05 00:48:51.152005,950.093966,Language Specialist V4,T1.Q10,Is the slang used to denigrate a group or perspective?,T1.Q10.A4,No,00667895-f589-4f70-a558-54ba2f1570cd,3f9673ce-e7d6-40cb-845c-362095f0cc99,No,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,68387542-a4ed-4d16-8baf-65434110c885,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-06-05 00:33:01.058039,2020-06-05 00:48:51.152005,950.093966,Language Specialist V4,T1.Q12,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",T1.Q12.A4,Excellent job! (artfully and fairly presenting a very difficult subject),05ae42f5-ddbd-44a4-9d96-20b296e03a82,c237ed50-361d-4e16-86b7-59fbb772fdec,Excellent job! (artfully and fairly presenting a very difficult subject),1,1,6668,6714,"I\u2019ve been banging on this drum for a long time"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,68387542-a4ed-4d16-8baf-65434110c885,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-06-05 00:33:01.058039,2020-06-05 00:48:51.152005,950.093966,Language Specialist V4,T1.Q14,"How difficult was this task for you, on the whole?",T1.Q14.A5,5: Middling difficulty,a2139417-0ef9-439c-8242-c280b487ad94,0211fda1-3697-436b-a7db-012231d2c258,5: Middling difficulty,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,68387542-a4ed-4d16-8baf-65434110c885,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-06-05 00:33:01.058039,2020-06-05 00:48:51.152005,950.093966,Language Specialist V4,T1.Q15,"How confident are you about your answers, on the whole?",T1.Q15.A5,5: 50-50,215e5ea4-8b76-412c-ac43-db118a714be9,a0cc3bc0-b0be-4248-9b0b-8282a2b5e4a6,5: 50-50,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,698461bd-a21d-4260-bd12-c507c2461047,e0834165-64cc-41e5-994f-9be97a16ef93,2020-06-15 22:28:23.497418,2020-06-15 22:35:05.076786,401.579368,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A1,Metaphorical Language,492f4aa4-d54c-46b2-8bc7-1e9676b607e9,86455a7a-f912-4a83-8e6b-967edf45b6eb,Metaphorical Language,1,1,6668,6714,"I\u2019ve been banging on this drum for a long time"
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,698461bd-a21d-4260-bd12-c507c2461047,e0834165-64cc-41e5-994f-9be97a16ef93,2020-06-15 22:28:23.497418,2020-06-15 22:35:05.076786,401.579368,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A11,Colorful but not misleading in any way,ce7dd8c8-bb22-4b03-ad52-ec8db244a7cf,0090ef11-d923-47b3-895c-200045aa7aee,Colorful but not misleading in any way,1,1,380,387,drag on
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,698461bd-a21d-4260-bd12-c507c2461047,e0834165-64cc-41e5-994f-9be97a16ef93,2020-06-15 22:28:23.497418,2020-06-15 22:35:05.076786,401.579368,Language Specialist V4,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",T1.Q2.A5,NOT AT ALL excessive/inappropriate,19849a7b-506f-44ff-bec2-66a59a497fd1,c6e53326-6f0c-4997-845a-a36d26013f3a,NOT AT ALL excessive/inappropriate,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,698461bd-a21d-4260-bd12-c507c2461047,e0834165-64cc-41e5-994f-9be97a16ef93,2020-06-15 22:28:23.497418,2020-06-15 22:35:05.076786,401.579368,Language Specialist V4,T1.Q12,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",T1.Q12.A1,Nope,1199a2a4-c9c4-4e74-a4c6-a43535f5b7aa,8a965e78-6e6f-4904-9e1d-a18a49de1802,Nope,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,698461bd-a21d-4260-bd12-c507c2461047,e0834165-64cc-41e5-994f-9be97a16ef93,2020-06-15 22:28:23.497418,2020-06-15 22:35:05.076786,401.579368,Language Specialist V4,T1.Q14,"How difficult was this task for you, on the whole?",T1.Q14.A2,2,f8b9aa2b-b0c4-478b-a31a-eabc42101dcb,2ffb15dd-3f96-4c7b-91d2-55c6f22b7bba,2,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,698461bd-a21d-4260-bd12-c507c2461047,e0834165-64cc-41e5-994f-9be97a16ef93,2020-06-15 22:28:23.497418,2020-06-15 22:35:05.076786,401.579368,Language Specialist V4,T1.Q15,"How confident are you about your answers, on the whole?",T1.Q15.A9,9,2e6d8c3f-c8e5-485e-bf50-0827f607c446,87567b6f-946d-4877-b6ce-4cbd850dcf7d,9,0,0,0,0,
Covid_Languagev1.1,a6eca3a8c143a31e7b37337f744912e6d33c5b2f49cd29570daee3cfdb9a017c,8986cc06-74a4-4160-ad7e-b4296a9b293b,https://pe.goodlylabs.org/project/Covid_Languagev1.1/task/2925,45154389-98f0-477b-b636-9541de8d11e2,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,4,4,db8a778b-616f-4cb1-a1ff-f752b762a5a6,1119f9ca-0dce-4a9e-b71e-5983833e8bbe,2020-06-15 23:04:51.673341,2020-06-15 23:08:16.738372,205.065031,Language Specialist V4,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",T1.Q1.A6,Slang,0f6965ff-df09-42c7-85d5-91a729e37e1f,55e36cf0-e565-41f8-bed7-c5f382558d66,Slang,1,2,380,387,drag on
