highlight_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,destination,task_redundancy,taskrun_count,ah_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,hg_tua_uuid,namespace,topic_name,case_number,highlight_count,start_pos,end_pos,target_text
a6b4bf8a-e6b3-4ab7-93cc-cda717a321b8,https://pe.goodlylabs.org/project/Covid_Form1.0/task/2743,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,16,3b1ddace-878c-4c64-a6a1-1e25f355f44f,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-19 15:43:21.602256,2020-03-19 16:23:39.746912,2418.144656,48bc2d29-12a8-42a2-aa5c-1da461e36132,Form.2020_03txt,Quoted Sources,1,1,824,1058,"CIA experts described a scenario very close to COVID-19.\n\nThey foresaw ""the emergence of a new, highly contagious, virulent respiratory disease in humans for which there is no adequate treatment and which could cause a global pandemic"
a6b4bf8a-e6b3-4ab7-93cc-cda717a321b8,https://pe.goodlylabs.org/project/Covid_Form1.0/task/2743,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,16,3b1ddace-878c-4c64-a6a1-1e25f355f44f,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-19 15:43:21.602256,2020-03-19 16:23:39.746912,2418.144656,2f56da66-7ef4-429a-95e3-534febd6807d,Form.2020_03txt,Quoted Sources,2,1,1064,1562,"The emergence of a pandemic depends on the natural genetic mutation, on the recombination of viral strains already in circulation, or on the emergence of a new pathogenic factor in the human population. Highly pathogenic avian influenza strains such as H5N1 are likely candidates for this type of transformation, but other pathogens, such as the severe acute respiratory syndrome coronavirus and some influenza strains will have the same properties, ""the Portuguese newspaper quoted Visao as saying"
a6b4bf8a-e6b3-4ab7-93cc-cda717a321b8,https://pe.goodlylabs.org/project/Covid_Form1.0/task/2743,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,16,3b1ddace-878c-4c64-a6a1-1e25f355f44f,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-19 15:43:21.602256,2020-03-19 16:23:39.746912,2418.144656,d4627b54-2e62-4967-9ccf-fcc0f0d741b5,Form.2020_03txt,Quoted Sources,3,1,1624,1879,"The country of origin probably will not have adequate means of detection, so it will take a long time to detect the disease. Laboratories will need weeks to get the final results confirming the existence of the disease, which could develop into a pandemic"
a6b4bf8a-e6b3-4ab7-93cc-cda717a321b8,https://pe.goodlylabs.org/project/Covid_Form1.0/task/2743,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,16,3b1ddace-878c-4c64-a6a1-1e25f355f44f,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-19 15:43:21.602256,2020-03-19 16:23:39.746912,2418.144656,323f67ef-6a7a-4719-b52f-fcc4990fe801,Form.2020_03txt,Quoted Sources,4,2,1931,2129,"Despite restrictions on international movement, travelers with few or no symptoms can carry the virus to other continents. There will be more and more patients, and new cases will appear every month"
a6b4bf8a-e6b3-4ab7-93cc-cda717a321b8,https://pe.goodlylabs.org/project/Covid_Form1.0/task/2743,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,16,3b1ddace-878c-4c64-a6a1-1e25f355f44f,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-19 15:43:21.602256,2020-03-19 16:23:39.746912,2418.144656,323f67ef-6a7a-4719-b52f-fcc4990fe801,Form.2020_03txt,Quoted Sources,4,2,2133,2436,"The report predicts areas and circumstances of the emergence of new viruses:\n""If a pandemic breaks out, it will undoubtedly begin in a densely populated area in which people live in close proximity to animals. There are such areas in China and Southeast Asia, where people live in contact with livestock"
a6b4bf8a-e6b3-4ab7-93cc-cda717a321b8,https://pe.goodlylabs.org/project/Covid_Form1.0/task/2743,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,16,3b1ddace-878c-4c64-a6a1-1e25f355f44f,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-19 15:43:21.602256,2020-03-19 16:23:39.746912,2418.144656,284261ec-1ba1-4216-8533-88c08469490f,Form.2020_03txt,Quoted Sources,5,2,2440,2632,"In the worst case, according to a CIA report, "" from ten to several hundred million Westerners will become infected with this disease , and the number of deaths will amount to tens of millions"
a6b4bf8a-e6b3-4ab7-93cc-cda717a321b8,https://pe.goodlylabs.org/project/Covid_Form1.0/task/2743,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,16,3b1ddace-878c-4c64-a6a1-1e25f355f44f,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-19 15:43:21.602256,2020-03-19 16:23:39.746912,2418.144656,284261ec-1ba1-4216-8533-88c08469490f,Form.2020_03txt,Quoted Sources,5,2,2874,3146,"If this disease appears by 2020, internal and cross-border tensions and conflicts will spread. Countries with insufficient capabilities will seek to control population movements in order to avoid infection or to maintain access to natural resources, \u201d the report concludes"
a6b4bf8a-e6b3-4ab7-93cc-cda717a321b8,https://pe.goodlylabs.org/project/Covid_Form1.0/task/2743,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,16,3b1ddace-878c-4c64-a6a1-1e25f355f44f,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-19 15:43:21.602256,2020-03-19 16:23:39.746912,2418.144656,b2628b93-6d28-42ba-bc61-6856da3b8507,Form.2020_03txt,Quoted Sources,6,1,3149,3608,"As reported by Pravda.Ru, an official spokesman for the Chinese Foreign Ministry said that the US military brought the COVID-19 virus to Wuhan.\n\nIn the scientific journal Nature Medicine for 2015, they found an article stating that American scientists artificially created a hybrid version of coronavirus in different animals, for example, bats. It is further described that back in 2013 they were studying the possibility of transmitting this virus to humans"
a6b4bf8a-e6b3-4ab7-93cc-cda717a321b8,https://pe.goodlylabs.org/project/Covid_Form1.0/task/2743,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,16,3b1ddace-878c-4c64-a6a1-1e25f355f44f,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-19 15:43:21.602256,2020-03-19 16:23:39.746912,2418.144656,e786a45e-8514-4e92-b03e-da30d40e6fa2,Form.2020_03txt,Quoted Sources,7,1,3623,3724,the United States reported that they created an experimental coronavirus vaccine and began testing it
a6b4bf8a-e6b3-4ab7-93cc-cda717a321b8,https://pe.goodlylabs.org/project/Covid_Form1.0/task/2743,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,16,3b1ddace-878c-4c64-a6a1-1e25f355f44f,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-19 15:43:21.602256,2020-03-19 16:23:39.746912,2418.144656,c0f53497-14c1-4269-8dd8-7e7726c7c27e,Form.2020_03txt,Assertions,1,1,3726,3811,It is natural to assume who will be the beneficiary of the huge profits from its sale
a6b4bf8a-e6b3-4ab7-93cc-cda717a321b8,https://pe.goodlylabs.org/project/Covid_Form1.0/task/2743,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,16,3b1ddace-878c-4c64-a6a1-1e25f355f44f,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-19 15:43:21.602256,2020-03-19 16:23:39.746912,2418.144656,4923da67-1994-423f-9423-f04054db7829,Form.2020_03txt,Arguments,1,7,113,259,"In social networks and small Western publications, a retelling of the 2005 CIA report appeared on the subject \u201cWhat will the world be like in 2020"
