highlight_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,destination,task_redundancy,taskrun_count,ah_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,hg_tua_uuid,namespace,topic_name,case_number,highlight_count,submitted_tua
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,166e3bfb-1add-424b-bee1-fbee0844d31d,Semantics2020_03,Language,1,2,"[{""start"": 164, ""case_number"": 1, ""end"": 198, ""text"": ""a retelling of the 2005 CIA report""}, {""start"": 2472, ""case_number"": 1, ""end"": 2473, ""text"": ""a""}]"
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,6f8bdb03-8ec1-45cd-9246-06cd6dddef58,Semantics2020_03,Language,2,6,"[{""start"": 259, ""case_number"": 2, ""end"": 261, ""text"": ""\u201d.""}, {""start"": 527, ""case_number"": 2, ""end"": 530, ""text"": ""\u201d .""}, {""start"": 1058, ""case_number"": 2, ""end"": 1060, ""text"": "" .""}, {""start"": 1512, ""case_number"": 2, ""end"": 1515, ""text"": "", \""""}, {""start"": 2484, ""case_number"": 2, ""end"": 2488, ""text"": "", \"" ""}, {""start"": 2762, ""case_number"": 2, ""end"": 2765, ""text"": "" , ""}]"
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,a10bcb7f-6428-4321-b5e1-2321234c1fe1,Semantics2020_03,Language,3,2,"[{""start"": 341, ""case_number"": 3, ""end"": 348, ""text"": ""COVID19""}, {""start"": 871, ""case_number"": 3, ""end"": 879, ""text"": ""COVID-19""}]"
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,80420975-9d68-484e-b3a6-a08019090f04,Semantics2020_03,Language,4,1,"[{""start"": 422, ""case_number"": 4, ""end"": 431, ""text"": ""voiced by""}]"
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,501ca247-2217-4981-8337-5c4b164b188c,Semantics2020_03,Language,5,1,"[{""start"": 596, ""case_number"": 5, ""end"": 606, ""text"": ""department""}]"
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,46bae7c6-b1c4-4501-aef0-71dc9c0c7e39,Semantics2020_03,Language,6,1,"[{""start"": 752, ""case_number"": 6, ""end"": 756, ""text"": ""true""}]"
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,ea628130-40b4-4055-b129-99f4bf9ad26d,Semantics2020_03,Language,7,1,"[{""start"": 1103, ""case_number"": 7, ""end"": 1106, ""text"": ""the""}]"
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,1e8df8ac-f08f-4152-95fd-97f207f725c8,Semantics2020_03,Language,8,1,"[{""start"": 1565, ""case_number"": 8, ""end"": 1600, ""text"": ""No one will be ready for a pandemic""}]"
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,7a2a6480-f875-4ccb-8bfe-427b6d27c755,Semantics2020_03,Language,9,1,"[{""start"": 3495, ""case_number"": 9, ""end"": 3518, ""text"": ""It is further described""}]"
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,725907a6-a742-43c1-8790-f83c9a057010,Semantics2020_03,Language,10,1,"[{""start"": 3537, ""case_number"": 10, ""end"": 3541, ""text"": ""they""}]"
