Article ID,Credibility Indicator ID,Credibility Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,H0,Holistic,Low Information,-2.0,[],-1,-1,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R0,Reasoning,Hindsight Bias,-2.0,[],-1,-1,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R1,Reasoning,Distraction|Red Herring,-2.0,[],-1,-1,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R2,Reasoning,Egregious Straw Man,-4.0,[],-1,-1,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R3,Reasoning,Distraction|Red Herring,-2.0,[],-1,-1,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R4,Reasoning,Personal Attack|Ad Hominem,-3.0,[],-1,-1,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R5,Reasoning,False Dilemma,-3.0,[],-1,-1,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R6,Reasoning,Distraction|Red Herring,-2.0,[],-1,-1,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R7,Reasoning,Before therefore Because,-2.0,[],-1,-1,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R8,Reasoning,Personal Attack|Ad Hominem,-2.0,"range(2877, 2952)",2877,2952,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R8,Reasoning,Personal Attack|Ad Hominem,0,"range(3029, 3068)",3029,3068,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R9,Reasoning,Misleading Assumption,-4.0,[],-1,-1,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R10,Reasoning,Personal Attack|Ad Hominem,-1.5707625401501837,"range(156, 304)",156,304,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R11,Reasoning,Before therefore Because,-2.5439907196648495,"range(2455, 2874)",2455,2874,nan
2183c12da70a40cb7d00a30b9c2f394ca66ce8b895bb78c43614659c6fc28f3d,R12,Reasoning,Straw Man Fallacy,-2.0,[],-1,-1,nan
,,,,,,,,
